goos: darwin
goarch: arm64
pkg: github.com/robby031/concurrent-map
cpu: Apple M4
BenchmarkMultiInsertSame-10                   	  855261	      1418 ns/op	     263 B/op	      11 allocs/op
BenchmarkMultiInsertSame-10                   	  879686	      1410 ns/op	     258 B/op	      11 allocs/op
BenchmarkMultiInsertSame-10                   	  851566	      1415 ns/op	     262 B/op	      11 allocs/op
BenchmarkMultiInsertSame-10                   	  844386	      1411 ns/op	     260 B/op	      11 allocs/op
BenchmarkMultiInsertSame-10                   	  855894	      1427 ns/op	     263 B/op	      11 allocs/op
BenchmarkMultiInsertSame-10                   	  860805	      1411 ns/op	     260 B/op	      11 allocs/op
BenchmarkMultiInsertSameSyncMap-10            	  582462	      1915 ns/op	     832 B/op	      31 allocs/op
BenchmarkMultiInsertSameSyncMap-10            	  600358	      2093 ns/op	     820 B/op	      31 allocs/op
BenchmarkMultiInsertSameSyncMap-10            	  580417	      2082 ns/op	     819 B/op	      31 allocs/op
BenchmarkMultiInsertSameSyncMap-10            	  593883	      2066 ns/op	     819 B/op	      31 allocs/op
BenchmarkMultiInsertSameSyncMap-10            	  583126	      2154 ns/op	     825 B/op	      31 allocs/op
BenchmarkMultiInsertSameSyncMap-10            	  593722	      2155 ns/op	     825 B/op	      31 allocs/op
BenchmarkMultiInsertSameSyncMap-10            	  667267	      2145 ns/op	     825 B/op	      31 allocs/op
BenchmarkMultiInsertSameSyncMap-10            	  614532	      2093 ns/op	     819 B/op	      31 allocs/op
BenchmarkMultiInsertSameSyncMap-10            	  602979	      2174 ns/op	     827 B/op	      31 allocs/op
BenchmarkMultiInsertSameSyncMap-10            	  603027	      2200 ns/op	     828 B/op	      31 allocs/op
BenchmarkMultiGetSame-10                      	 6313579	       188.0 ns/op	      16 B/op	       1 allocs/op
BenchmarkMultiGetSame-10                      	 6320544	       188.0 ns/op	      16 B/op	       1 allocs/op
BenchmarkMultiGetSame-10                      	 6251976	       188.6 ns/op	      16 B/op	       1 allocs/op
BenchmarkMultiGetSame-10                      	 6330754	       188.3 ns/op	      16 B/op	       1 allocs/op
BenchmarkMultiGetSame-10                      	 6317586	       188.8 ns/op	      16 B/op	       1 allocs/op
BenchmarkMultiGetSame-10                      	 6320048	       188.7 ns/op	      16 B/op	       1 allocs/op
BenchmarkMultiGetSame-10                      	 6320522	       188.7 ns/op	      16 B/op	       1 allocs/op
BenchmarkMultiGetSame-10                      	 6282951	       188.5 ns/op	      16 B/op	       1 allocs/op
BenchmarkMultiGetSame-10                      	 6196491	       188.6 ns/op	      16 B/op	       1 allocs/op
BenchmarkMultiGetSame-10                      	 6252619	       188.5 ns/op	      16 B/op	       1 allocs/op
BenchmarkMultiGetSameSyncMap-10               	 6423794	       185.0 ns/op	      16 B/op	       1 allocs/op
BenchmarkMultiGetSameSyncMap-10               	 6432848	       183.4 ns/op	      16 B/op	       1 allocs/op
BenchmarkMultiGetSameSyncMap-10               	 6400353	       184.4 ns/op	      16 B/op	       1 allocs/op
BenchmarkMultiGetSameSyncMap-10               	 6461958	       184.7 ns/op	      16 B/op	       1 allocs/op
BenchmarkMultiGetSameSyncMap-10               	 6395391	       184.6 ns/op	      16 B/op	       1 allocs/op
BenchmarkMultiGetSameSyncMap-10               	 6397178	       184.9 ns/op	      16 B/op	       1 allocs/op
BenchmarkMultiGetSameSyncMap-10               	 6428421	       184.6 ns/op	      16 B/op	       1 allocs/op
BenchmarkMultiGetSameSyncMap-10               	 6439630	       184.4 ns/op	      16 B/op	       1 allocs/op
BenchmarkMultiGetSameSyncMap-10               	 6395871	       184.5 ns/op	      16 B/op	       1 allocs/op
BenchmarkMultiGetSameSyncMap-10               	 6427975	       184.9 ns/op	      16 B/op	       1 allocs/op
BenchmarkMultiGetSetDifferentSyncMap-10       	 1738333	       699.4 ns/op	     942 B/op	      34 allocs/op
BenchmarkMultiGetSetDifferentSyncMap-10       	 1769954	       721.6 ns/op	     942 B/op	      34 allocs/op
BenchmarkMultiGetSetDifferentSyncMap-10       	 1761664	       725.5 ns/op	     942 B/op	      34 allocs/op
BenchmarkMultiGetSetDifferentSyncMap-10       	 1738424	       719.2 ns/op	     942 B/op	      34 allocs/op
BenchmarkMultiGetSetDifferentSyncMap-10       	 1732400	       700.4 ns/op	     942 B/op	      34 allocs/op
BenchmarkMultiGetSetDifferentSyncMap-10       	 1710162	       702.6 ns/op	     941 B/op	      34 allocs/op
BenchmarkMultiGetSetDifferentSyncMap-10       	 1740746	       711.1 ns/op	     942 B/op	      34 allocs/op
BenchmarkMultiGetSetDifferentSyncMap-10       	 1761684	       717.6 ns/op	     942 B/op	      34 allocs/op
BenchmarkMultiGetSetDifferentSyncMap-10       	 1757205	       723.3 ns/op	     942 B/op	      34 allocs/op
BenchmarkMultiGetSetDifferentSyncMap-10       	 1769906	       708.1 ns/op	     942 B/op	      34 allocs/op
BenchmarkMultiGetSetDifferent_1_Shard-10      	  467366	      2790 ns/op	     640 B/op	      15 allocs/op
BenchmarkMultiGetSetDifferent_1_Shard-10      	  471040	      2828 ns/op	     663 B/op	      15 allocs/op
BenchmarkMultiGetSetDifferent_1_Shard-10      	  476710	      2873 ns/op	     657 B/op	      15 allocs/op
BenchmarkMultiGetSetDifferent_1_Shard-10      	  463636	      2873 ns/op	     638 B/op	      15 allocs/op
BenchmarkMultiGetSetDifferent_1_Shard-10      	  465356	      2843 ns/op	     639 B/op	      15 allocs/op
BenchmarkMultiGetSetDifferent_1_Shard-10      	  470318	      2913 ns/op	     668 B/op	      15 allocs/op
BenchmarkMultiGetSetDifferent_1_Shard-10      	  466213	      2879 ns/op	     688 B/op	      15 allocs/op
BenchmarkMultiGetSetDifferent_1_Shard-10      	  458121	      2748 ns/op	     628 B/op	      15 allocs/op
BenchmarkMultiGetSetDifferent_1_Shard-10      	  457754	      2801 ns/op	     631 B/op	      15 allocs/op
BenchmarkMultiGetSetDifferent_1_Shard-10      	  469480	      2782 ns/op	     641 B/op	      15 allocs/op
BenchmarkMultiGetSetDifferent_16_Shard-10     	 1264333	       917.2 ns/op	     823 B/op	      15 allocs/op
BenchmarkMultiGetSetDifferent_16_Shard-10     	 1299579	       933.8 ns/op	     826 B/op	      15 allocs/op
BenchmarkMultiGetSetDifferent_16_Shard-10     	 1283457	       910.6 ns/op	     823 B/op	      15 allocs/op
BenchmarkMultiGetSetDifferent_16_Shard-10     	 1292767	       932.9 ns/op	     833 B/op	      15 allocs/op
BenchmarkMultiGetSetDifferent_16_Shard-10     	 1304029	       925.3 ns/op	     816 B/op	      15 allocs/op
BenchmarkMultiGetSetDifferent_16_Shard-10     	 1273028	       924.7 ns/op	     821 B/op	      15 allocs/op
